PLAYER_NAME,BBREF_ID,TEAM,SALARY,SEASON
Josh Jackson,jacksjo02,SAC,5005350.0,2021-22
Collin Sexton,sextoco01,CLE,6349671.0,2021-22
Justin Jackson,jacksju01,BOS,102831.0,2021-22
Semi Ojeleye,ojelese01,LAC,1789256.0,2021-22
Terance Mann,mannte01,LAC,1782621.0,2021-22
Justin Champagnie,champju01,TOR,0.0,2021-22
Daniel Gafford,gaffoda01,WAS,1782621.0,2021-22
Austin Rivers,riverau01,DEN,2401537.0,2021-22
Nathan Knight,knighna01,MIN,0.0,2021-22
Trent Forrest,forretr01,UTA,8558.0,2021-22
Jaylen Morris,morrija01,SAS,95930.0,2021-22
Enes Freedom,kanteen01,HOU,2641691.0,2021-22
Kessler Edwards,edwarke02,BRK,5318.0,2021-22
Malik Newman,newmama01,CLE,85578.0,2021-22
James Ennis,ennisja01,BRK,126528.0,2021-22
Abdel Nader,naderab01,PHO,2000000.0,2021-22
R.J. Hampton,hamptrj01,ORL,2303040.0,2021-22
Jared Butler,butleja02,UTA,925258.0,2021-22
Montrezl Harrell,harremo01,CHO,9720900.0,2021-22
Anthony Gill,gillan01,WAS,1517981.0,2021-22
Cheick Diallo,diallch01,DET,102831.0,2021-22
Serge Ibaka,ibakase01,MIL,9720900.0,2021-22
David Duke,dukeda01,BRK,0.0,2021-22
Ryan Anderson,anderry01,MIA,5214584.0,2021-22
Eric Bledsoe,bledser01,POR,18125000.0,2021-22
Moses Wright,wrighmo01,DAL,0.0,2021-22
Immanuel Quickley,quickim01,NYK,2210640.0,2021-22
JaVale McGee,mcgeeja01,PHO,5000000.0,2021-22
Bam Adebayo,adebaba01,MIA,28103550.0,2021-22
RJ Barrett,barrerj01,NYK,8623920.0,2021-22
Damyean Dotson,dotsoda01,NYK,205662.0,2021-22
DeAndre Jordan,jordade01,DET,7875533.0,2021-22
Kemba Walker,walkeke02,NYK,8729020.0,2021-22
Miye Oni,onimi01,NOP,95930.0,2021-22
Craig Sword,swordcr01,WAS,53176.0,2021-22
Tyler Johnson,johnsty01,PHI,128709.0,2021-22
Killian Hayes,hayeski01,DET,5572680.0,2021-22
Jay Huff,huffja01,LAL,0.0,2021-22
Greg Brown,browngr01,POR,925258.0,2021-22
Lindy Waters,waterli01,OKC,0.0,2021-22
Jalen Brunson,brunsja01,DAL,1802057.0,2021-22
Naji Marshall,marshna01,NOP,1517981.0,2021-22
Khris Middleton,middlkh01,MIL,35500000.0,2021-22
M.J. Walker,walkemj01,PHO,53176.0,2021-22
Juwan Morgan,morgaju01,BOS,115116.0,2021-22
Sam Hauser,hausesa01,BOS,313737.0,2021-22
David Nwaba,nwabada01,HOU,4650000.0,2021-22
Norvel Pelle,pelleno01,BOS,95930.0,2021-22
McKinley Wright,wrighmc01,MIN,0.0,2021-22
Nemanja Bjelica,bjeline01,GSW,2089448.0,2021-22
Jordan Bell,belljo01,CHI,102831.0,2021-22
Luol Deng,denglu01,LAL,5000000.0,2021-22
Gary Payton,paytoga02,GSW,1939350.0,2021-22
Ja Morant,moranja01,MEM,9603360.0,2021-22
Jabari Parker,parkeja01,BOS,1168288.0,2021-22
Cameron McGriff,mcgrica01,POR,53176.0,2021-22
Joe Johnson,johnsjo02,BOS,151821.0,2021-22
Paul George,georgpa01,LAC,39344970.0,2021-22
Luke Kornet,kornelu01,BOS,606702.0,2021-22
Royce O'Neale,onealro01,UTA,8800000.0,2021-22
Stanley Johnson,johnsst04,CHI,120083.0,2021-22
Joe Ingles,inglejo01,POR,12436364.0,2021-22
Rudy Gobert,goberru01,UTA,35344828.0,2021-22
Thomas Bryant,bryanth01,WAS,8666667.0,2021-22
Jared Harper,harpeja01,NOP,95930.0,2021-22
Dean Wade,wadede01,CLE,1782621.0,2021-22
Moses Brown,brownmo01,CLE,211046.0,2021-22
Franz Wagner,wagnefr01,ORL,5007840.0,2021-22
Rayjon Tucker,tuckera01,DEN,95930.0,2021-22
CJ Elleby,ellebcj01,POR,1517981.0,2021-22
Jaren Jackson,jacksja02,MEM,9180560.0,2021-22
Tristan Thompson,thomptr01,CHI,1000000.0,2021-22
Kristaps PorziÅÄ£is,porzikr01,WAS,31650600.0,2021-22
Alec Burks,burksal01,NYK,9536000.0,2021-22
Luka Å amaniÄ,samanlu01,NYK,0.0,2021-22
Jordan Clarkson,clarkjo01,UTA,12420000.0,2021-22
Marcus Smart,smartma01,BOS,13839285.0,2021-22
Trey Lyles,lylestr01,SAC,2500000.0,2021-22
Isaiah Livers,liveris01,DET,1057260.0,2021-22
B.J. Johnson,johnsbj01,ORL,95930.0,2021-22
Petr Cornelie,cornepe01,DEN,0.0,2021-22
Max Strus,strusma01,MIA,1669178.0,2021-22
Jeremiah Robinson-Earl,robinje02,OKC,2000000.0,2021-22
Sam Merrill,merrisa01,MEM,1517981.0,2021-22
Gabriel Lundberg,lundbga01,PHO,0.0,2021-22
Jalen Green,greenja05,HOU,8992200.0,2021-22
Miles Bridges,bridgmi02,CHO,5421493.0,2021-22
DeMar DeRozan,derozde01,CHI,26000000.0,2021-22
Cameron Payne,payneca01,PHO,6500000.0,2021-22
Matt Thomas,thomama02,CHI,1669178.0,2021-22
Terence Davis,daviste02,SAC,4000000.0,2021-22
Tyrese Haliburton,halibty01,IND,4023600.0,2021-22
Nassir Little,littlna01,POR,2316240.0,2021-22
